cr;c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113;c114;c115;c116;c117;c118;c119;c120;c121;c122;c123;c124;c125;c126;c127;c128;c129;c130;c131;c132;c133;c134;c135;c136;c137;c138;c139;c140;c141;c142;c143;c144;c145;c146;c147;c148;c149;c150;c151;c152;c153;c154;c155;c156;c157;c158;c159;c160;c161;c162;c163;c164;c165;c166;c167;c168;c169;c170;c171;c172;c173;c174;c175;c176;c177;c178;c179;c180;c181;c182;c183;c184;c185;c186;c187;c188;c189;c190;c191;c192;c193;c194;c195;c196;c197;c198;c199;c200;c201;c202;c203;c204;c205;c206;c207;c208;c209;c210;c211;c212;c213;c214;c215;c216;c217;c218;c219;c220;c221;c222;c223;c224;c225;c226;c227;c228;c229;c230;c231;c232;c233;c234;c235;c236;c237;c238;c239;c240;c241;c242;c243;c244;c245;c246;c247;c248;c249;c250;c251;c252;c253;c254;c255;c256;c257;c258;c259;c260;c261;c262;c263;c264;c265;c266;c267;c268;c269;c270;c271;c272;c273;c274;c275;c276;c277;c278;c279;c280;c281;c282;c283;c284;c285;c286;c287;c288;c289;c290;c291;c292;c293;c294;c295;c296;c297;c298;c299
r250;28.916;6.001;20.227;11.55;29.246;6.849;14.927;21.997;4.607;16.554;1.155;8.718;1.086;10.867;9.279;3.052;1.811;25.838;28.121;25.068;3.031;5.192;21.48;20.752;26.483;18.798;29.115;1.12;5.917;1.896;13.62;1.521;25.834;27.478;22.381;3.329;19.043;22.816;13.687;4.527;5.764;29.256;19.173;27.093;7.939;3.473;10.498;6.032;9.078;22.424;11.102;18.422;8.691;23.109;26.19;4.608;7.406;17.654;10.047;21.236;26.962;28.007;26.3;5.571;3.283;1.659;5.54;3.021;10.199;12.262;7.097;29.622;15.276;17.027;20.381;27.396;23.165;24.058;1.102;25.25;10.219;4.12;1.851;20.622;28.138;22.239;23.198;16.493;1.095;29.064;8.387;13.528;21.574;26.476;27.498;23.074;2.274;2.656;23.097;10.655;2.037;17.846;19.116;11.675;20.64;5.476;3.543;28.451;4.109;21.352;7.986;6.21;24.218;15.731;9.578;24.74;8.632;6.754;8.943;3.433;1.194;17.717;8.648;24.003;3.742;25.897;4.931;26.714;24.393;26.762;18.296;2.05;12.818;7.638;11.025;20.399;11.041;23.543;12.934;9.059;23.751;13.795;16.479;5.277;26.304;19.941;2.044;29.496;8.604;22.386;10.535;1.263;8.227;3.295;9.966;2.076;26.863;8.746;2.31;23.755;12.139;22.82;6.377;10.244;26.629;7.888;26.564;1.151;28.045;1.548;27.476;18.419;25.32;15.497;21.241;17.814;21.536;4.657;4.293;17.178;12.032;22.908;28.166;12.589;18.311;13.574;6.597;8.753;19.459;18.899;26.781;1.989;6.279;19.747;8.288;26.493;28.959;6.894;9.863;23.023;28.827;20.59;17.265;17.624;10.493;9.941;23.325;4.809;20.967;15.67;22.572;1.941;7.804;18.874;29.517;2.635;25.061;16.229;5.83;20.458;2.945;13.946;10.202;25.83;2.085;19.921;13.537;23.19;5.345;6.762;3.781;13.39;29.09;23.917;26.085;25.168;10.727;11.379;22.549;13.052;28.399;26.399;22.141;16.41;15.362;6.581;12.918;9.157;11.786;27.335;28.457;17.365;28.474;16.944;24.225;5.29;13.377;22.163;5.003;16.873;4.811;5.542;5.175;2.103;18.149;10.129;12.088;21.141;16.285;3.316;7.472;2.812;17.67;29.909;14.96;22.446;14.623;27.759;19.107;28.089;25.205;1.643;22.458;7.734;17.259;22.16;26.47;18.503;17.954;1.637;13.909;12.685;3.309;29.064;4.905;23.387;25.943;27.707;27.585;7.949
r251;21.317;15.478;6.734;8.838;13.543;21.366;15.1;12.33;4.742;14.025;2.9;28.807;25.966;3.592;28.731;28.421;15.244;22.372;17.79;17.852;4.12;25.552;12.424;7.494;16.905;14.549;8.068;26.296;8.625;15.692;10.082;22.899;4.742;20.464;14.392;12.764;15.909;3.074;17.404;10.789;13.527;29.16;10.218;23.334;28.809;8.467;22.518;7.189;6.792;19.118;8.174;23.563;4.707;29.035;16.31;24.411;26.621;5.151;1.453;28.406;3.492;25.469;7.805;10.85;8.713;10.659;12.151;13.721;6.347;5.483;16.496;25.157;24.01;5.775;4.45;29.831;8.635;13.17;20.918;17.436;16.114;2.447;11.668;18.787;13.888;24.045;21.518;7.537;4.88;16.92;4.032;22.526;6.186;11.754;26.193;17.398;27.45;6.361;10.73;14.329;14.81;15.514;28.885;7.666;27.042;4.138;16.293;1.672;12.588;18.057;7.505;21.857;24.133;28.187;15.801;17.605;23.168;29.626;23.617;29.538;24.652;8.148;12.962;22.676;24.454;4.98;11.105;21.678;24.313;28.276;21.988;11.658;29.928;4.846;25.337;10.666;24.467;3.024;1.567;28.333;29.414;3.75;7.378;27.25;18.346;4.402;6.629;18.905;15.374;10.237;10.761;24.522;19.943;6.414;13.754;3.208;23.057;22.832;29.357;25.481;13.42;3.197;3.405;7.301;8.588;1.63;18.982;8.151;11.482;18.377;28.182;14.844;7.059;15.329;16.096;19.951;9.43;29.281;1.752;8.591;19.609;29.121;11.332;7.921;4.604;25.746;23.14;29.115;8.983;13.763;14.628;22.251;15.773;11.917;28.224;10.202;17.545;4.081;28.785;2.377;10.53;18.777;23.64;7.058;7.992;23.075;26.38;8.915;2.863;26.815;10.529;16.304;6.762;7.814;18.219;2.974;28.883;13.913;17.949;13.108;28.674;1.68;3.265;16.393;21.438;14.149;21.012;5.758;20.917;8.345;24.111;8.563;18.291;23.818;13.519;22.953;4.133;20.116;18.201;14.236;5.524;12.498;9.612;13.277;1.005;24.02;11.255;2.88;23.322;9.629;7.802;14.032;27.682;11.21;28.806;16.375;13.582;17.205;13.951;12.022;10.184;7.475;11.954;18.467;6.241;24.752;15.103;2.32;21.684;26.922;21.269;29.653;5.912;2.785;26.597;14.927;27.966;19.076;29.516;12.144;20.601;4.006;27.288;5.134;19.896;13.055;26.737;13.282;3.764;21.56;9.435;14.563;21.954;10.723;20.606;7.39;27.938;15.137;8.224;24.59
r252;24.542;12.239;29.897;2.487;24.868;5.824;8.504;8.999;27.522;20.88;10.282;23.605;7.425;3.362;8.988;10.121;14.323;7.588;4.457;6.948;29.721;27.661;16.931;25.14;25.143;13.079;9.395;25.648;22.997;24.699;14.627;10.502;26.159;24.579;26.091;23.38;15.119;12.72;26.229;8.905;19.063;1.337;14.898;7.315;20.484;7.613;2.829;6.578;22.937;25.298;26.575;3.412;3.663;15.961;4.156;12.783;6.492;16.939;15.705;3.299;19.97;23.376;14.494;2.183;20.823;13.786;22.713;27.328;10.105;8.785;25.944;15.965;19.624;20.859;8.572;22.71;24.136;22.435;27.537;7.592;26.559;29.991;28.983;24.838;17.179;28.66;10.458;12.355;24.305;1.714;21.727;25.382;29.918;10.075;7.114;28.771;27.354;22.68;15.923;25.377;13.271;22.924;3.815;22.246;9.699;8.648;17.367;13.392;1.21;25.304;12.23;9.964;22.585;17.609;13.82;9.693;2.05;1.756;10.137;25.401;25.012;8.756;2.701;25.417;16.986;18.879;21.887;14.222;6.055;19.191;2.722;20.789;23.463;3.193;29.389;16.974;28.392;12.62;23.527;22.849;17.179;5.1;7.304;12.363;29.381;8.994;18.479;23.026;15.301;10.295;29.059;28.349;24.463;11.952;1.547;8.124;21.792;2.306;9.227;15.554;27.327;4.155;25.523;24.45;3.162;25.221;9.777;25.792;25.206;17.397;13.418;16.431;18.829;26.442;17.334;8.755;16.496;25.698;21.88;10.675;18.146;20.078;16.708;6.531;9.557;10.678;15.888;3.508;23.993;7.594;28.754;27.947;17.867;28.228;7.407;23.813;2.172;22.369;9.804;12.551;28.9;15.064;17.588;20.338;10.587;26.767;14.765;2.729;4.311;7.966;11.383;7.875;6.547;4.798;29.747;29.486;4.944;28.94;6.641;7.433;25.389;16.432;4.503;25.893;17.631;16.935;17.774;7.807;15.809;6.641;19.495;16.224;14.284;25.385;25.083;14.51;25.248;11.394;29.569;15.973;6.831;4.416;3.546;2.465;15.496;22.332;7.794;16.849;29.032;19.327;22.656;1.712;17.841;21.623;16.821;4.933;28.921;27.205;13.5;14.443;27.479;26.209;2.604;21.435;9.211;13.565;6.656;13.882;12.541;5.221;25.369;25.363;5.069;23.594;23.636;19.52;16.794;25.414;18.278;5.17;4.659;23.267;13.127;16.485;1.532;5.516;12.614;29.323;27.549;3.772;10.963;5.794;6.52;5.878;9.446;22.976;29.697;11.48;27.444;28.593
r253;1.599;19.615;29.781;7.217;29.319;7.909;1.466;22.877;14.58;14.906;6.422;18.205;21.563;7.749;1.468;20.336;6.145;16.66;12.087;1.746;13.947;19.082;6.155;1.668;27.76;15.016;14.764;2.603;16.563;3.174;22.782;5.897;14.138;9.397;27.944;15.274;16.025;21.13;22.477;21.252;2.872;14.085;4.282;18.001;24.807;23.901;1.577;17.676;28.658;9.277;6.735;12.206;9.149;13.178;22.788;13.723;18.007;7.535;5.976;23.011;11.641;4.454;1.689;3.193;16.516;11.738;28.893;5.172;29.522;6.062;2.508;7.725;11.451;7.654;1.812;22.526;1.663;26.309;24.678;22.444;9.125;24.538;24.062;11.908;16.15;6.976;24.311;10.272;1.16;20.419;26.016;14.729;24.751;3.635;11.892;24.42;7.279;19.143;19.057;12.736;3.83;18.798;12.926;14.178;4.963;24.722;17.967;12.907;3.739;21.122;25.649;17.239;16.856;3.512;20.088;16.824;28.942;20.425;8.75;4.546;14.316;23.302;5.447;17.972;27.515;4.287;30.0;21.035;24.257;21.182;25.107;20.273;28.963;29.713;1.767;2.203;24.325;2.573;4.343;6.703;24.985;22.481;1.885;5.337;20.727;26.126;6.469;23.519;27.262;19.544;25.128;12.699;24.332;2.809;3.567;18.997;1.027;23.097;27.875;25.033;3.939;3.627;4.089;9.812;13.738;7.059;17.921;23.654;16.119;19.396;15.291;21.204;2.222;16.717;7.403;6.565;10.921;13.401;20.255;25.285;28.958;26.006;19.292;27.213;17.323;11.063;23.497;1.868;9.771;2.364;21.769;14.663;23.785;24.382;29.475;15.627;15.578;16.86;13.37;14.916;21.341;10.807;21.845;23.177;3.175;15.947;9.889;21.265;23.496;2.95;21.289;15.975;3.535;25.184;14.23;19.656;21.757;20.296;23.989;27.965;25.303;5.865;26.637;19.583;11.85;16.527;28.858;13.838;21.933;17.491;12.504;6.069;12.856;19.111;19.633;7.06;10.178;27.861;7.951;27.951;25.422;24.863;22.685;19.382;22.938;29.762;24.201;29.752;24.802;3.787;12.112;25.38;27.351;25.942;9.471;24.183;11.902;10.938;28.699;29.438;26.034;22.603;16.514;24.812;8.936;20.668;3.561;10.704;18.429;17.141;10.68;10.292;25.325;26.988;6.485;19.238;8.265;11.044;7.611;16.748;16.408;16.941;13.148;23.051;26.566;23.696;29.826;9.702;21.433;9.297;4.54;18.236;15.113;9.551;24.649;16.24;14.405;27.844;4.819;8.919
r254;9.41;27.3;28.388;10.658;15.219;25.858;11.406;13.657;16.66;6.705;25.837;29.548;27.167;2.224;12.726;4.218;16.118;8.274;22.727;29.665;6.785;19.002;2.31;6.094;18.075;13.601;12.619;22.608;8.259;28.383;29.075;23.04;20.222;15.342;25.376;1.895;14.523;29.555;26.83;29.506;1.574;17.339;18.726;7.229;1.888;4.968;1.05;3.114;3.026;25.922;2.979;2.992;27.793;2.603;9.908;12.449;15.44;14.524;28.988;2.667;14.15;13.779;18.921;27.821;23.86;18.399;16.475;21.009;25.703;8.699;18.235;26.488;3.348;16.376;24.577;16.75;4.634;8.795;29.721;11.766;18.009;19.186;25.417;20.608;17.37;13.411;6.105;10.895;29.543;13.704;15.585;19.416;24.714;11.116;26.654;29.745;15.436;6.13;15.0;10.456;11.554;8.161;5.02;2.169;18.564;7.27;16.528;13.763;3.559;19.014;22.829;27.066;12.834;13.29;16.786;19.154;4.416;16.73;3.163;20.61;24.765;9.049;24.283;29.686;27.314;4.8;1.904;19.805;5.416;13.211;11.753;29.892;21.291;13.263;12.163;28.886;7.988;22.592;1.833;18.528;20.024;6.951;27.129;11.099;9.078;29.801;29.762;20.863;5.543;6.912;8.586;3.014;19.646;6.15;1.839;22.244;8.899;29.337;16.799;12.29;22.309;22.087;15.294;15.929;29.021;11.068;29.923;11.462;5.433;21.642;22.404;9.401;6.537;12.135;15.855;14.948;1.648;24.438;15.479;15.263;14.05;23.382;28.555;18.949;7.027;16.671;17.535;8.079;9.977;23.547;15.623;22.38;28.125;3.072;25.722;9.12;28.946;21.131;19.495;18.117;26.326;19.461;1.646;28.157;19.173;25.977;17.515;4.53;7.175;20.764;5.726;16.731;21.247;10.766;13.108;14.042;7.031;26.645;8.517;7.221;16.106;18.541;22.031;24.794;10.951;13.674;18.276;1.568;27.417;4.723;14.26;7.309;13.384;3.812;12.639;6.031;5.439;1.976;15.713;10.522;9.481;22.973;23.89;1.996;24.644;12.912;29.846;29.802;5.759;26.326;9.851;16.031;4.599;4.84;19.91;15.546;12.873;8.002;9.083;1.464;8.34;9.712;19.155;10.967;17.586;9.237;17.392;20.638;14.116;13.023;9.471;12.903;25.513;19.381;12.613;12.741;28.963;11.837;28.141;6.234;19.513;4.167;26.93;27.277;1.742;11.983;12.35;9.695;5.284;1.982;26.863;10.991;22.988;16.953;6.853;28.383;16.917;24.759;14.402;7.448
r255;19.927;28.914;24.5;6.995;15.417;21.1;5.303;13.058;5.299;24.971;21.529;22.091;18.105;1.202;15.858;8.041;21.975;1.985;22.543;22.041;27.286;7.668;5.762;26.75;20.776;25.366;18.209;4.983;18.222;20.378;11.62;9.792;1.583;4.844;22.037;15.371;25.906;16.776;19.344;17.915;13.763;7.389;28.29;4.435;8.381;23.741;22.282;3.262;14.84;24.291;22.851;17.631;3.634;29.185;11.425;11.22;11.943;9.535;8.791;24.042;13.472;20.978;20.118;26.349;10.696;4.206;16.399;24.084;23.05;9.237;17.577;26.64;23.578;27.188;6.396;21.854;4.386;4.008;2.673;24.981;4.588;10.157;1.209;20.602;18.002;28.43;25.822;28.231;11.044;16.858;3.075;21.111;5.111;14.672;17.394;16.881;23.605;2.155;1.047;25.843;10.176;20.664;15.927;15.861;16.371;11.236;27.533;21.417;18.326;28.695;1.159;9.333;12.101;13.422;26.694;19.721;14.528;26.162;7.621;24.916;24.647;9.423;17.464;21.889;13.364;19.731;3.641;18.72;28.469;26.179;11.983;3.115;3.093;15.899;23.555;21.056;2.26;19.606;23.536;20.553;19.938;17.934;1.961;25.316;6.893;9.476;10.308;24.364;4.969;18.481;21.57;8.209;1.811;29.808;12.365;8.63;4.912;17.251;9.248;5.155;26.492;1.857;14.818;25.646;8.098;20.733;3.347;4.319;8.528;15.653;7.027;1.315;23.444;22.403;10.163;20.915;26.014;23.382;12.424;5.446;29.854;12.195;2.753;21.045;28.343;29.236;2.15;29.594;4.454;23.022;16.761;12.702;17.174;23.122;12.195;26.758;25.24;2.609;26.751;28.849;18.973;16.407;5.037;28.816;10.641;10.81;1.759;1.614;24.307;4.59;26.74;3.639;25.437;11.685;9.033;26.206;25.518;15.68;1.2;8.418;21.38;6.257;4.796;27.323;24.84;21.218;22.176;7.648;4.59;24.274;27.552;28.963;21.111;8.918;21.334;18.044;11.381;25.986;21.779;13.146;3.91;7.066;2.684;6.55;22.142;26.662;29.861;2.505;21.026;25.192;14.102;17.538;20.218;2.53;1.889;22.069;21.334;23.566;21.656;26.447;24.378;20.292;11.139;4.482;20.374;27.179;16.858;27.227;2.975;20.52;4.006;15.897;11.786;11.111;19.361;3.44;10.324;3.826;11.07;20.359;16.622;7.132;1.732;11.34;5.947;19.853;17.917;20.237;16.801;2.153;24.112;13.067;21.333;16.126;7.733;25.775;28.522;3.478;9.165;4.421
r256;8.553;19.737;9.129;6.445;26.883;16.518;19.373;15.573;12.915;21.78;28.994;27.954;19.567;26.059;16.715;14.402;15.817;19.731;26.462;7.744;21.076;23.88;4.929;7.793;21.388;2.105;19.277;24.492;23.809;22.281;17.167;24.41;20.658;19.442;8.204;2.165;20.542;16.62;2.407;10.089;16.188;22.634;23.759;28.748;7.725;8.793;5.263;22.355;21.844;9.637;20.563;12.422;4.802;9.113;1.042;4.001;18.868;7.014;6.509;15.113;6.087;15.586;10.41;19.472;2.365;12.162;22.13;8.902;7.683;3.912;12.003;29.457;25.375;26.19;18.755;23.904;28.115;13.253;10.0;19.69;7.039;15.282;28.038;20.052;4.85;10.213;7.944;20.224;3.935;2.875;19.263;23.66;4.365;22.368;9.194;8.685;13.348;8.616;13.017;27.864;27.486;28.237;12.13;18.94;3.664;20.746;3.914;3.172;7.166;23.717;2.278;12.975;6.148;15.722;18.75;23.11;24.921;10.176;13.227;7.692;11.866;4.236;1.916;7.391;29.008;17.225;16.789;2.687;26.303;29.815;29.007;20.431;8.405;19.218;9.77;10.794;28.666;2.686;22.329;17.988;28.39;9.518;2.665;6.445;17.849;9.235;6.125;22.033;12.806;23.063;19.776;16.57;13.276;11.653;4.684;26.697;3.796;9.006;15.202;13.924;15.166;25.986;24.536;5.868;22.385;28.2;3.383;20.977;29.41;27.31;10.688;16.856;28.848;3.049;21.357;12.139;24.351;26.217;27.518;7.311;20.953;10.639;2.474;9.334;8.118;2.699;16.914;18.233;20.074;24.262;20.565;9.13;23.977;14.639;14.987;19.331;1.051;5.412;4.935;27.115;6.476;25.773;19.732;22.773;28.303;19.009;7.239;14.604;8.135;21.388;27.241;6.914;27.07;6.199;11.597;4.963;4.205;24.783;7.226;28.501;29.707;14.441;6.852;25.354;6.775;11.841;2.181;20.287;24.179;22.307;6.975;26.688;13.25;19.791;4.739;25.539;1.957;7.539;17.49;14.494;7.186;4.84;5.227;8.508;25.199;2.493;28.959;8.867;22.445;22.864;14.818;8.775;17.87;26.187;29.456;1.297;5.212;27.851;29.343;5.695;29.446;23.822;4.362;17.117;6.426;3.56;13.051;7.478;10.584;11.731;11.277;3.365;18.183;21.34;1.716;27.302;8.753;29.465;29.873;19.675;18.469;7.213;6.583;18.855;8.573;19.913;14.721;21.148;19.382;25.083;17.652;10.633;10.027;20.992;5.089;21.014;21.614;25.462;26.401;18.118
r257;12.616;17.392;2.228;16.833;16.498;3.545;22.983;7.908;22.555;7.134;27.111;21.957;18.349;16.472;23.45;9.272;28.443;27.43;28.629;13.411;14.112;11.368;27.705;12.686;27.146;5.065;24.763;19.597;5.366;25.704;15.91;7.6;6.26;2.333;26.096;10.548;27.218;16.134;25.674;26.612;11.833;17.09;22.512;22.89;3.589;23.562;25.463;9.379;12.817;8.382;22.908;15.051;7.785;8.301;11.471;24.076;7.533;19.769;10.83;6.445;27.553;23.68;16.412;23.967;7.108;10.305;2.536;11.278;21.676;12.668;3.85;6.569;2.639;20.747;8.456;17.371;1.04;2.463;13.527;19.206;29.902;9.959;10.568;10.366;26.196;15.54;15.291;27.048;11.827;11.369;28.872;22.261;4.215;25.831;22.545;14.137;11.292;12.198;20.661;8.14;2.592;21.876;23.886;15.39;24.737;29.982;9.931;26.161;25.806;11.626;4.403;26.832;21.223;23.881;29.372;14.856;4.456;6.237;27.916;3.783;13.437;18.327;22.597;22.833;5.912;14.778;13.948;5.929;19.979;21.337;20.52;14.744;22.374;17.931;22.704;2.333;21.027;19.785;5.938;2.776;27.019;10.333;19.449;27.524;29.903;25.322;12.383;16.322;18.53;29.57;8.884;29.404;9.73;9.605;8.502;10.508;4.496;16.374;13.278;14.535;7.072;6.069;7.085;3.92;6.905;11.386;3.308;20.565;13.529;15.419;20.722;2.013;24.313;22.392;3.697;18.158;29.078;11.113;1.516;20.416;22.993;5.767;5.464;7.83;5.416;25.223;19.624;8.127;8.039;18.814;19.944;1.566;18.905;23.808;15.807;28.577;25.541;22.153;17.484;5.081;4.914;26.62;24.889;17.165;10.003;2.502;17.729;27.484;3.468;29.071;14.405;11.709;20.684;11.59;16.954;19.467;8.195;11.815;22.444;18.821;21.988;9.465;1.661;13.334;14.434;11.095;8.751;18.439;29.364;16.53;24.371;8.643;28.793;29.212;21.49;28.037;15.997;10.498;4.759;18.2;9.493;25.205;3.33;17.86;23.701;27.223;18.104;22.629;1.425;13.662;17.907;10.461;24.737;22.17;5.578;9.738;2.974;22.604;26.571;27.867;22.484;12.964;14.451;19.434;9.774;26.601;7.696;6.979;8.976;14.242;29.046;14.032;5.907;6.737;10.293;6.533;8.465;29.106;22.306;1.919;17.323;20.481;13.562;17.717;2.617;11.59;11.372;8.505;7.088;21.796;13.254;25.077;2.394;2.153;1.345;25.329;25.013;25.412;28.083;14.401
r258;13.389;18.465;15.891;11.974;16.967;3.972;18.436;8.324;29.988;4.501;27.494;7.927;11.556;14.42;20.577;10.241;13.263;28.337;15.01;2.625;22.631;8.887;13.425;18.811;12.66;5.999;1.058;17.545;27.981;11.448;4.404;23.084;8.14;27.196;2.422;27.68;27.724;15.919;29.648;23.374;1.523;7.294;2.365;17.583;8.327;12.554;15.222;28.265;19.145;13.555;4.974;17.071;24.846;1.53;16.979;10.542;2.851;13.41;3.709;8.449;23.439;23.68;12.981;12.259;19.507;17.712;15.313;15.968;19.514;19.17;28.349;10.533;2.041;14.003;1.603;24.361;4.631;12.967;22.592;28.26;9.458;22.14;21.799;16.649;28.411;29.553;25.286;16.974;4.348;19.522;8.433;8.429;22.581;14.416;5.901;12.789;13.023;22.238;23.491;9.24;1.05;8.972;2.999;10.842;28.701;26.363;22.49;4.148;9.018;29.906;14.24;4.554;24.745;17.859;11.169;5.989;27.188;25.602;17.424;2.472;28.546;5.166;10.633;12.838;22.411;29.539;10.673;13.034;2.334;12.06;2.915;13.451;18.718;17.485;1.158;3.332;14.568;19.644;28.541;29.063;13.344;1.732;16.009;6.845;1.685;23.955;11.713;18.413;19.513;5.132;10.313;28.411;20.901;2.176;28.778;14.096;16.606;29.636;25.197;22.139;10.157;20.36;6.691;28.98;16.467;1.501;23.02;8.837;5.753;11.62;18.895;26.276;17.23;3.815;7.195;17.322;6.41;12.878;26.069;13.985;1.951;4.942;17.938;26.253;5.556;18.043;16.309;18.525;4.289;24.428;16.499;27.067;9.646;13.762;13.822;21.048;8.619;6.54;27.136;11.77;14.65;10.939;20.876;15.782;14.83;4.953;4.731;25.662;16.096;18.276;3.96;28.387;24.391;22.63;1.614;19.674;22.027;23.949;21.004;28.438;6.28;15.205;8.331;18.122;28.36;29.335;25.519;3.276;11.437;20.663;9.395;27.766;3.946;4.437;5.846;19.47;1.769;24.913;13.374;13.012;20.179;13.539;24.621;27.393;19.599;25.525;20.553;24.91;10.805;17.622;10.27;22.794;2.808;17.68;26.47;26.559;15.247;7.65;10.242;2.733;9.943;18.631;20.352;21.979;22.693;26.97;5.475;4.987;2.488;7.91;21.025;14.489;9.614;20.694;18.4;20.112;22.864;6.265;13.905;16.847;22.142;26.788;13.832;2.426;7.07;3.428;3.409;13.531;18.151;16.728;21.569;28.604;11.803;7.105;22.182;14.961;20.601;15.557;26.544;27.397
r259;25.868;23.294;26.425;16.797;7.595;19.433;7.203;18.349;14.98;14.372;28.743;27.714;7.998;4.321;2.238;5.189;8.373;12.88;22.686;22.665;21.292;8.567;13.314;13.5;13.401;15.112;15.117;19.031;16.898;11.064;10.299;10.495;16.839;27.876;4.45;3.785;14.394;4.654;29.483;14.298;17.153;16.646;19.496;23.285;1.821;26.493;21.512;28.564;8.56;10.993;28.768;20.385;27.612;6.176;28.019;12.018;14.032;5.491;4.512;8.89;17.053;28.247;16.433;11.094;2.459;23.224;11.945;4.645;15.739;19.207;25.914;20.775;17.631;25.874;11.915;18.102;27.368;21.667;17.143;23.563;1.625;13.966;18.483;17.184;9.786;6.357;8.412;9.844;8.491;14.375;22.056;15.761;29.762;2.329;20.518;18.297;22.3;13.527;21.04;21.681;7.918;15.983;9.749;14.857;18.458;3.862;8.158;4.386;4.562;9.097;13.498;3.371;22.53;27.442;3.767;20.628;14.537;21.385;22.464;11.672;2.309;7.416;28.702;22.336;2.45;5.563;9.027;17.615;25.446;12.504;1.491;26.058;3.37;29.798;28.622;23.183;23.188;28.485;29.506;18.822;18.279;13.348;25.937;29.051;24.008;15.903;1.135;23.556;12.631;13.288;1.07;1.576;16.629;29.112;15.561;14.927;21.27;19.856;7.632;6.779;3.037;16.024;18.939;10.622;10.399;21.987;20.634;11.801;9.189;17.29;26.73;28.797;9.809;29.968;13.315;7.821;5.06;14.49;23.445;8.977;18.774;18.112;3.077;26.13;2.277;29.798;25.582;17.564;26.699;14.129;5.931;16.636;11.65;6.62;16.131;5.469;21.129;2.794;27.066;3.282;18.768;4.002;20.529;14.482;20.016;23.969;12.962;24.151;27.273;22.76;25.141;13.887;20.581;3.965;24.725;28.302;17.511;5.548;9.108;19.553;12.51;6.419;24.158;11.153;21.738;14.504;18.72;22.443;27.591;15.554;17.105;24.032;4.283;14.18;26.883;3.635;12.221;18.697;12.512;8.635;5.211;8.522;8.938;10.35;4.283;9.592;9.641;12.801;22.621;28.206;12.007;23.828;8.749;9.165;19.085;7.861;25.1;12.788;19.607;26.506;17.435;1.98;12.964;12.254;2.154;18.09;10.661;14.147;10.964;24.591;1.313;3.263;6.033;21.331;28.906;15.691;26.823;24.216;12.616;2.934;17.519;25.442;16.372;9.11;27.566;23.755;12.84;14.933;16.272;20.416;14.909;9.966;22.001;1.304;26.425;29.972;2.695;25.658;7.539;25.156
